index,paragraph
19,"Tesla entered the solar installation business in November 2016 with the purchase of SolarCity, in an all-stock $2.6 billion deal.[41] The business was merged with Tesla's existing battery energy storage products division to form the Tesla Energy subsidiary.[42] The deal was controversial because at the time of the acquisition, SolarCity was facing liquidity issues of which Tesla's shareholders were not informed.[43] In February 2017, Tesla Motors changed its name to Tesla, Inc. to better reflect the scope of its expanded business.[44]"
20,"Tesla unveiled its first mass market vehicle in April 2016, the Model 3 sedan. Compared to Tesla's previous luxury vehicles, the Model 3 was less expensive and within a week the company received over 325,000 paid reservations.[45] In an effort to speed up production and control costs, Tesla invested heavily in robotics and automation to assemble the Model 3. Instead, the robotics actually slowed the production of the vehicles,[46] leading to significant delays and production problems, a period which the company would later come to describe as ""production hell.""[47][48] By the end of 2018, the production problems had been overcome, and the Model 3 would become the world's bestselling electric car from 2018 to 2021.[49][50]"
21,"This period of production hell put significant financial pressure on Tesla, and during this time it became one of the most shorted companies in the market. On August 8, 2018, amid the financial issues, Musk posted on social media that he was considering taking Tesla private.[51][52] The plan did not materialize and gave rise to much controversy and many lawsuits including a securities fraud charge from the SEC, which would force Musk to step down as the company's chairman, although he was allowed to remain CEO."
22,"From July 2019 to June 2020, Tesla reported four consecutive profitable quarters for the first time, which made it eligible for inclusion in the S&P 500.[53] Tesla was added to the index on December 21, 2020.[54] It was the most valuable company ever added, and was the sixth-largest member of the index immediately after it was added.[54] During 2020, the share price increased 740%,[55] and on January 26, 2021, its market capitalization reached $848 billion,[56] more than the next nine largest automakers combined and becoming the fifth most valuable company in the US.[57][58]"
23,"Tesla introduced its second mass-market vehicle in March 2019, the Model Y mid-size crossover SUV, based on the Model 3.[59][60] Deliveries started in March 2020.[61]"
24,"During this period, Tesla invested heavily in expanding its production capacity, opening three new Gigafactories in quick succession. Construction of Gigafactory Shanghai started in January 2019, as the first automobile factory in China fully owned by a foreign company (not a joint venture).[62] The first production vehicle, a Model 3, rolled out of the factory in December, less than one year after groundbreaking.[63] Gigafactory Berlin-Brandenburg broke ground in February 2020,[64] and production of the Model Y began in March 2022.[65] Gigafactory Texas broke ground in June 2020,[66] production of the Model Y began in April 2022,[67] and production of the Cybertruck began in November 2023.[68] In March 2023, Tesla announced plans for a Gigafactory Mexico to open in 2025.[69]"
25,"At the beginning of the COVID-19 pandemic, Tesla closed the Fremont Factory in March 2020 due to California state and Alameda county COVID restrictions.[70] When California lifted restrictions, but the county did not, Tesla sued the county, and restarted production on May 11, 2020.[71] The county lifted restrictions on May 13, 2020, and Tesla dropped its lawsuit.[72] After the dispute with county officials, on December 1, 2021, Tesla moved its legal headquarters to Gigafactory Texas.[73][74] However, Tesla continued to use its former headquarters building in Palo Alto, and over the next two years significantly expanded its footprint in California. The company opened its Megafactory to build Megapack batteries in Lathrop, California in 2022,[75] and announced in February 2023 that it would establish a large global engineering headquarters in Palo Alto, moving into a corporate campus once owned by Hewlett Packard.[76]"
26,"Tesla became a major investor in bitcoin, acquiring $1.5 billion of the cryptocurrency,[77] and on March 24, 2021, the company started accepting bitcoin as a form of payment for US vehicle purchases.[78] However, after 49 days, the company ended bitcoin payments over concerns that the production of bitcoin was contributing to the consumption of fossil fuels, against the company's mission of encouraging the transition to sustainable energy.[79] After the announcement, the price of bitcoin dropped around 12%.[80] In July 2022 it was reported that Tesla had sold about 75% of its bitcoin holdings at a loss, citing that the cryptocurrency was hurting the company's profitability.[81]"
27,"As of November 2023[update], Tesla offers six vehicle models: Model S, Model X, Model 3, Model Y, Tesla Semi, and Cybertruck. Tesla's first vehicle, the first-generation Tesla Roadster, is no longer sold. Tesla has plans for a second-generation Roadster."
28,"The Model S is a full-size luxury car with a liftback body style and a dual motor, all-wheel drive layout. Development of the Model S began prior to 2007 and deliveries started in June 2012. The Model S has seen two major design refreshes, first in April 2016 which introduced a new front-end design and again in June 2021 which revised the interior. The Model S was the top-selling plug-in electric car worldwide in 2015 and 2016. More than 250,000 vehicles have been sold as of December 2018[update] (when Tesla merged production numbers for the Model S and Model X)."
29,"The Model X is a mid-size luxury crossover SUV offered in 5-, 6- and 7-passenger configurations with either a dual- or tri-motor, all-wheel drive layout. The rear passenger doors open vertically with an articulating ""falcon-wing"" design. A prototype Model X was first shown in February 2012 and deliveries started in September 2015.[82] The Model X shares around 30 percent of its content with the Model S. The vehicle has seen one major design refresh in June 2021 which revised the interior."
30,"The Model 3 is a mid-size car with a fastback body style and either a dual-motor, all-wheel drive layout or a rear-motor, rear-wheel drive layout. The vehicle was designed to be more affordable than the luxury Model S sedan. A prototype Model 3 was first shown in 2016 and within a week the company received over 325,000 paid reservations.[45] Deliveries started in July 2017.[83] The Model 3 ranked as the world's bestselling electric car from 2018 to 2021,[84][85][86] and cumulative sales passed 1 million in June 2021.[5] The vehicle has seen one major design refresh in September 2023 which revised the exterior and interior."
31,"The Model Y is a mid-size crossover SUV offered in 5- and 7-passenger configurations with a single‐motor, rear-wheel drive or a dual-motor, all-wheel drive layout. The vehicle was designed to be more affordable than the luxury Model X SUV. A prototype Model Y was first shown in March 2019,[59] and deliveries started in March 2020.[61] The Model Y shared around 75 percent of its content with the Model 3.[60] In the first quarter of 2023, the Model Y outsold the Toyota Corolla to become the world's best-selling car, the first electric vehicle to claim the title.[87]"
32,"The Tesla Semi is a Class 8 semi-truck by Tesla, Inc. with a tri-motor, rear-wheel drive layout. Tesla claims that the Semi has approximately three times the power of a typical diesel semi truck, a range of 500 miles (800 km).[88] Two prototype trucks were first shown in November 2017 and initial deliveries were made to PepsiCo on December 1, 2022.[89] As of December 2023[update], the truck remains in pilot production.[2]"
33,"The Cybertruck is a full-sized pickup truck. First announced in November 2019, pilot production began in July 2023, after being pushed back multiple times, and deliveries began on November 30, 2023. Three models are offered: rear-wheel drive, dual-motor all-wheel drive, and tri-motor all-wheel drive, with EPA range estimates of 320–340 miles (510–550 km), depending on the model. The truck's exterior design made from flat sheets of unpainted stainless steel earned a notably polarizing reception from media.[90][91][92]"
34,"On November 16, 2017, Tesla unveiled the second generation Roadster with a purported range of 620 miles (1,000 km) with a 200 kilowatt-hours (720 MJ) battery pack that would achieve 0–60 miles per hour (0–97 km/h) in 1.9 seconds; and 0–100 mph (0–161 km/h) in 4.2 seconds,[93] and a top speed over 250 mph (400 km/h). A ""SpaceX Package"" would include cold-gas thrusters.[94] The vehicle would have three electric motors, allowing all-wheel drive and torque vectoring during cornering.[94] The base price was set at $200,000.[94] Musk has said that the Roadster should ship in 2024.[95]"
35,The Tesla next-generation vehicle is an announced battery electric platform. It would become the third platform for the company. Vehicles based on this platform are not expected before 2025.[96]
36,"The original Tesla Roadster[97] was a two-seater sports car, evolved from the Lotus Elise chassis.[98] It was produced from 2008 to 2012. The Roadster was the first highway-legal serial production electric car to use lithium-ion battery cells and the first production all-electric car to travel more than 200 miles (320 km) per charge."
37,"Tesla cars come with ""Standard Connectivity"", which provides navigation using a cellular connection. For a fee, Tesla offers a subscription to ""Premium Connectivity"" which adds live traffic and satellite maps to navigation, internet browsing, and media streaming.[99]"
38,"Tesla’s strategy is to service its vehicles first through remote diagnosis and repair. If it is not possible to resolve a problem remotely, a mobile technician is dispatched or customers are referred to a local Tesla-owned service center.[100][101] Tesla has said that it does not want to make a profit on vehicle servicing, which has traditionally been a large profit center for most auto dealerships.[102]"
39,"In 2016, Tesla recommended having any Tesla car inspected every 12,500 miles or once a year, whichever comes first. In early 2019, the manual was changed to say: ""your Tesla does not require annual maintenance and regular fluid changes,"" and instead it recommends periodic servicing of the brake fluid, air conditioning, tires and air filters.[103]"
40,Supercharger is the branding used by Tesla for its high-voltage direct current fast chargers.
41,"Tesla also has a network of ""Destination Chargers,"" slower than Superchargers and intended for locations where customers are expected to park and stay for several hours, such as hotels, restaurants, or shopping centers. Unlike the Supercharger network, Tesla does not own the destination chargers, instead, property owners set up the devices and set pricing.[104] When the network first launched in 2014, Tesla provided free charging equipment and covered installation costs.[105] One of the largest providers is hotel chain Hilton Worldwide which in 2023 announced an agreement with Tesla to install 20,000 chargers across 2,000 of its properties in North America by 2025.[106]"
42,"Tesla has offered its own vehicle insurance in the United States since 2017 and has been acting as an independent insurance producer since 2021 as Tesla Insurance Services, Inc. It was introduced after the American Automobile Association (AAA), a major insurance carrier, raised rates for Tesla owners in June 2017 after a report concluded that the automakers vehicles crashed more often and were more expensive to repair than comparable vehicles.[107] A study in 2018 based on data from the Insurance Institute for Highway Safety confirmed the findings.[108]"
43,"The company says that it uniquely understands its vehicles, technology and repair costs, and can eliminate traditional insurance carriers' additional charges.[109] In states where allowed, the company uses individual vehicle data to offer personalized pricing that can increase or decrease in cost based on the prior month's driving safety score.[110]"
44,"As of January 2023[update], Tesla offers insurance in the U.S. states of Arizona, California, Colorado, Illinois, Maryland, Minnesota, Nevada, Ohio, Oregon, Texas, Utah and Virginia.[111] The company also offers insurance for Tesla vehicle owners with non-Tesla vehicles.[109]"
45,"Tesla subsidiary Tesla Energy develops, builds, sells and installs solar energy generation systems and battery energy storage products (as well as related products and services) to residential, commercial and industrial customers. The subsidiary was created by the merger of Tesla's existing battery energy storage products division with SolarCity, a solar energy company that Tesla acquired in 2016.[112] In 2023, the company deployed 14.7 gigawatt-hours of battery energy storage products, an increase of 125% over 2022, but only deployed solar energy systems capable of generating 223 megawatts, a decrease of 36% over 2022.[113]"
46,"Tesla Energy products include solar panels (built by other companies for Tesla), the Tesla Solar Roof (a solar shingle system) and the Tesla Solar Inverter. Storage products include the Powerwall (a home energy storage device) and the Megapack (a large-scale energy storage system).[114][115][116]"
47,"For large-scale customers, Tesla Energy operates an online platform which allows for automated, real-time power trading, demand forecasting and product control.[117][118][119] In March 2021, the company said its online products were managing over 1.2 GWh of storage.[120] For home customers, the company operates a virtual power company in Texas called Tesla Electric, which utilizes the company's online platforms to manage customers Powerwall devices, discharging them into the grid to sell power when prices are high, earning money for customers.[121][122]"
48,"At the time of Tesla's founding in 2003, electric vehicles were very expensive.[123] In 2006, Elon Musk stated that Tesla's strategy was to first produce high-price, low-volume vehicles, such as sports cars, for which customers are less sensitive to price. This would allow them to progressively bring down the cost of batteries, which in turn would allow them to offer cheaper and higher volume cars.[15][124] Tesla's first vehicle, the Roadster, was low-volume (fewer than 2,500 were produced) and priced at over $100,000. The next models, the Model S and Model X, are more affordable but still luxury vehicles. The most recent models, the Model 3 and the Model Y, are priced still lower, and aimed at a higher volume market,[125][126] selling over 100,000 vehicles each quarter. Tesla continuously updates the hardware of its cars rather than waiting for a new model year, as opposed to nearly every other car manufacturer.[127]"
49,"Unlike other automakers, Tesla does not rely on franchised dealerships to sell vehicles. Instead, the company directly sells vehicles through its website and a network of company-owned stores.[128][129] The company is the first automaker in the United States to sell cars directly to consumers.[130][131] Some jurisdictions, particularly in the United States, prohibit auto manufacturers from directly selling vehicles to consumers. In these areas, Tesla has locations that it calls galleries that the company says ""educate and inform customers about our products, but such locations do not actually transact in the sale of vehicles.""[132][133] In total, Tesla operates nearly 400 stores and galleries in more than 35 countries.[134] These locations are typically located in retail shopping districts, inside shopping malls, or other high-traffic areas,[129] instead of near other auto dealerships.[135][136][137]"
50,"Analysts describe Tesla as vertically integrated given how it develops many components in-house, such as batteries, motors, and software.[139] The practice of vertical integration is rare in the automotive industry, where companies typically outsource 80% of components to suppliers and focus on engine manufacturing and final assembly.[140][141][142]"
51,"Tesla generally allows its competitors to license its technology, stating that it wants to help its competitors accelerate the world's use of sustainable energy.[143] Licensing agreements include provisions whereby the recipient agrees not to file patent suits against Tesla, or to copy its designs directly.[144] Tesla retains control of its other intellectual property, such as trademarks and trade secrets to prevent direct copying of its technology.[145]"
52,"Tesla is highly vertically integrated and develops many components in-house, such as batteries, motors, and software.[139]"
53,"As of 2023, Tesla uses four different battery cell form factors: 18650, 2170, 4680, and prismatic.[146][147][148]"
54,"Tesla purchases these batteries from three suppliers, CATL, LG Energy Solution, and Panasonic, the latter of which has co-located some of its battery production inside Tesla's Gigafactory Nevada. Tesla is also currently building out the capacity to produce its own batteries."
55,Tesla batteries sit under the vehicle floor to save interior space. Tesla uses a multi-part aluminum and titanium protection system to protect the battery from road debris and/or vehicle crashes.[149]
56,"Business analysis company BloombergNEF estimated Tesla's battery pack cost in 2021 at $112 per kilowatt-hour (kWh), versus an industry average of $132 per kWh.[150]"
57,"Tesla was the first automaker to use cylindrical, lithium-ion battery cells. When it built the first generation Roadster, it used off-the-shelf 18650-type (18 mm diameter, 65 mm height) cylindrical batteries that were already used for other consumer electronics. The cells provided an engineering challenge because each has a relatively low capacity, so thousands needed to be bundled together in a battery pack. Electrical and thermal management also proved to be a challenge, requiring liquid cooling and an intumescent fire prevention chemical.[151] However, the decision proved to be pragmatic because there was already a mature manufacturing process that could produce a high volume of the cells at a consistent quality. Although the 18650-type cells are the oldest technology, they are used in the Model S and X vehicles. Tesla sources these batteries with a nickel-cobalt-aluminum (NCA) cathode chemistry from Panasonic's factories in Japan.[152]"
58,"The next battery type to be used was 2170-type (21 mm diameter, 70 mm height) cylindrical cell. The larger size was optimized for electric cars, allowing for a higher capacity per cell and a lower number of cells per battery pack. The 2170 was introduced for the Model 3 and Y vehicles.[152]"
59,"For vehicles built at the Tesla Fremont Factory, the company sources 2170-type batteries with a nickel-cobalt-aluminum cathode chemistry from Panasonic's production line at Gigafactory Nevada.[153] In January 2021, Panasonic had the capacity to produce 39 GWh per year of battery cells there.[154] Tesla Energy also uses 2170 cells in its Powerwall home energy storage product."
60,For vehicles made at Gigafactory Shanghai and Gigafactory Berlin-Brandenburg batteries with a nickel-cobalt-manganese (NMC) cathode chemistry are sourced from LG Energy Solution's factories in China.[152]
61,"Tesla's latest cylindrical cell design is the 4680-type (46 mm diameter, 80 mm height) introduced in 2021. The battery was developed in-house by Tesla and is physically 5-times bigger than the 2170-type, again allowing for a higher capacity per cell and a lower number of cells per battery pack.[155][156] Currently, Tesla builds the 4680 cells itself and has not disclosed the cathode chemistry. The company has already opened production lines in Fremont, California, and plans to open lines inside Gigafactory Nevada and Gigafactory Texas. The 4680 cells are used in the Model Y and Cybertruck built at Gigafactory Texas.[152]"
62,"Tesla also uses prismatic (rectangular) cells in many entry-level Model 3 and Model Y vehicles.[152] The prismatic cells are a lithium iron phosphate battery (LFP or LiFePO4) which is a less energy-dense type, but do not contain any nickel or cobalt, which makes it less expensive to produce.[157] Tesla sources these batteries from CATL's factories in China. As of April 2022[update], nearly half of Tesla's vehicle production used prismatic cells.[158] Tesla Energy also uses prismatic cells in its Megapack grid-scale energy storage product.[159]"
63,"Tesla invests in lithium-ion battery research. In 2016, the company established a 5-year battery research and development partnership at Dalhousie University in Nova Scotia, Canada, with lead researcher Jeff Dahn.[160][161][162][163] Tesla acquired Maxwell Technologies for over $200 million[164] – and sold in 2021.[165] It also acquired Hibar Systems.[166][167] Tesla purchased several battery manufacturing patent applications from Springpower International, a small Canadian battery company.[168][169]"
64,"Tesla uses over-the-air updates to deliver updates to vehicles, adding features or fixing problems.[170] This is enabled by tight integration between a few powerful onboard computers, compared to the way automakers had previously handled technology, by purchasing off-the-shelf electronic components for each subsystem that typically could not interface at the software level.[171]"
65,"The system also has allowed Tesla to control which features customers have access to. For example, for ease of assembly all Model 3 vehicles were built with heated rear seats, but only customers who purchased a premium interior could turn them on. However, Tesla has allowed customers who didn't pay for a premium interior to purchase access to the heated rear seats.[172] Tesla uses a similar software lock feature for Enhanced Autopilot and Full-Self Driving features, even though all vehicles are equipped with the computers and cameras necessary to enable those features.[173]"
66,"Tesla makes two kinds of electric motors. Its oldest design in production is a three-phase four-pole alternating current induction motor (asynchronous motor) with a copper rotor[174] (which inspired the Tesla logo). These motors use electromagnetic induction, by varying magnetic field to produce torque. Induction motors are used as the rear motor in the Model S and Model X, as the front motor in the Model 3 and Model Y and were used in the first-generation Roadster."
67,"Newer, higher efficiency permanent magnet motors have been in use since the introduction of the Model 3 in 2017. They are currently used as the rear motor in the Model 3 and Model Y, the front motor of 2019-onward versions of the Model S and X, and are expected to be used in the Tesla Semi.[175] The permanent magnet motors are more efficient, especially in stop-start driving.[176]"
68,"The North American Charging Standard (NACS) is an electric vehicle charging connector system developed by Tesla. It has been used on all North American market Tesla vehicles since 2012 and was opened for use to other manufacturers in 2022. Since then, nearly every other vehicle manufacturer has announced that starting from 2025, their electric vehicles sold in North America will be equipped with the NACS charge port. Several electric vehicle charging network operators and equipment manufacturers have also announced plans to add NACS connectors.[177]"
69,Autopilot is an advanced driver-assistance system developed by Tesla. The system requires active driver supervision at all times.[178]
70,"Since September 2014, all Tesla cars are shipped with sensors (initially hardware version 1 or ""HW1"") and software to support Autopilot.[179] Tesla upgraded its sensors and software in October 2016 (""HW2"") to support full self-driving in the future.[180] HW2 includes eight cameras, twelve ultrasonic sensors, and forward-facing radar.[180] HW2.5 was released in mid-2017, and it upgraded HW2 with a second graphics processing unit (GPU) and, for the Model 3 only, a driver-facing camera.[181] HW3 was released in early 2019 with an updated and more powerful computer, employing a custom Tesla-designed system on a chip.[182]"
71,"In April 2019, Tesla announced that all of its cars will include Autopilot software (defined as just Traffic-Aware Cruise Control and Autosteer (Beta)) as a standard feature moving forward.[183] Full self-driving software (Autopark, Navigate on Autopilot (Beta), Auto Lane Change (Beta), Summon (Beta), Smart Summon (Beta) and future abilities) is an extra cost option.[183]"
72,"In 2020, Tesla released software updates where its cars recognize and automatically stop at stop signs and traffic lights.[184][185][186] In May 2021, Tesla removed the radar sensor and radar features from its Model 3 and Model Y vehicles, opting instead to rely on camera vision alone.[187][188][189] The New York Times reported in December 2021 that Musk ""repeatedly told members of the Autopilot team that humans could drive with only two eyes and that this meant cars should be able to drive with cameras alone,"" an analogy some experts and former Tesla engineers described as ""deeply flawed.""[190] Similarly, a statistical analysis conducted in A Methodology for Normalizing Safety Statistics of Partially Automated Vehicles debunked a common Tesla claim that Autopilot reduced crash rates by 40 percent[191] by accounting for the relative safety of the given operating domain when using active safety measures.[192]"
73,"Full Self-Driving (FSD) is an optional extension of Autopilot promoted as eventually being able to perform fully autonomous driving. At the end of 2016, Tesla expected to demonstrate full autonomy by the end of 2017,[193] which as of July 2022[update] has not occurred.[194] The first beta version of the software was released on October 22, 2020, to a small group of testers.[195] The release of the beta has renewed concern regarding whether the technology is ready for testing on public roads.[196][197] The National Transportation Safety Board (NTSB) has called for ""tougher requirements"" for any testing of Autopilot on public roads.[198]"
74,"Tesla's approach to achieve full autonomy is different from that of other companies.[199] Whereas Waymo, Cruise, and other companies are relying on highly detailed (centimeter-scale) three-dimensional maps, lidar, and cameras, as well as radar and ultrasonic sensors in their autonomous vehicles, Tesla's approach is to use coarse-grained two-dimensional maps and cameras (no lidar) as well as radar and ultrasonic sensors.[199][200] Tesla claims that although its approach is much more difficult, it will ultimately be more useful, because its vehicles will be able to self-drive without geofencing concerns.[201] Tesla's self-driving software has been trained on over 20 billion miles driven by Tesla vehicles as of January 2021.[202] Tesla also designed a self-driving computer chip that has been installed in its cars since March 2019.[203]"
75,"Most experts believe that Tesla's approach of trying to achieve full self-driving by eschewing lidar and high-definition maps is not feasible.[204][205][206] In March 2021, according to a letter that Tesla sent to the California Department of Motor Vehicles about FSD's capability – acquired by PlainSite via a public records request – Tesla stated that FSD is not capable of autonomous driving and is only at Society of Automotive Engineers Level 2 automation.[207] In a May 2021 study by Guidehouse Insights, Tesla was ranked last for both strategy and execution in the autonomous driving sector.[208] In October 2021, the National Transportation Safety Board (NTSB) called on Tesla to change the design of its Autopilot to ensure it cannot be misused by drivers, according to a letter sent to Musk.[209]"
76,"Ahead of the start of production of the Model 3, Tesla invested heavily in robotics and automation to assemble vehicles. To that end, between 2015 and 2017, the company purchased several companies involved in automation and robotics including Compass Automation,[210] Grohmann Automation,[211] Perbix Machine Company, and Riviera Tool and Die.[212] Elon Musk later admitted that the robotics actually slowed the production of the vehicles.[46]"
77,"Tesla uses massive casting machines (Giga Press) to make large single pieces of vehicle underbodies and to streamline production.[213] This saves time, labor, cost and factory space, replacing multiple robots that weld car parts together with a single machine.[214]"
78,"In September 2022, Tesla revealed prototypes of a humanoid robot named Optimus, which Musk has stated uses the same core software as FSD. During the presentations at Tesla's AI Day 2022, Musk suggested that, among other use cases, the finalized version of Optimus could be used in Tesla's car factories to help with repetitive tasks and relieve labor shortages.[215]"
79,"In July 2023, Tesla acquired Wiferion, a Germany-based developer of wireless charging systems for industrial vehicles and autonomous robots, which has since been operating as Tesla Engineering Germany GmbH.[216] Tesla sold the business to Munich-based Puls Group three months later, but retained its staff.[217][218]"
80,"In November 2016, the company announced the Tesla Glass technology group. The group produced the roof glass for the Tesla Model 3. It also produces the glass used in the Tesla Solar Roof's solar shingles.[219]"
81,"The company operates seven large factories and about a dozen smaller factories around the world. As of 2024[update], the company also operates more than 1,200 retail stores, galleries, service, delivery and body shop locations globally.[2]"
82,"Tesla was founded in San Carlos, California.[235] In 2010, Tesla moved its corporate headquarters and opened a powertrain development facility in Palo Alto.[236] Tesla's first retail store was opened in 2008 in Los Angeles.[237]"
83,"Tesla's first assembly plant occupies the former NUMMI plant in Fremont, California, known as the Tesla Fremont Factory. The factory was originally opened by General Motors in 1962, and then operated by NUMMI, a joint venture of GM and Toyota from 1984.[238] The joint venture ended when GM entered bankruptcy in 2009. In 2010, Toyota agreed to sell the plant to Tesla at a significant discount.[28]"
84,"Tesla's first purpose-built facility was opened in Nevada in 2016. Gigafactory Nevada produces Powerwalls, Powerpacks and Megapacks;[222] battery cells in partnership with Panasonic;[239] and Model 3 drivetrains.[240] The factory received substantial subsidies (abatements and credits) from the local and state government, that, in exchange for opening in their jurisdiction, allowed Tesla to operate essentially tax free for 10 years.[241]"
85,"As part of the acquisition of SolarCity in 2016, Tesla gained control of Gigafactory New York in Buffalo on the site of a former Republic Steel plant. The state of New York spent cash to build and equip the factory through the Buffalo Billion program.[242][243] In 2017, the factory started production of the Tesla Solar Roof,[225] but faced multiple production challenges. Since 2020, Tesla has also assembled Superchargers in New York. The plant has been criticized for offering little economic benefit for the state funding.[244]"
86,"On July 23, 2020, Tesla picked Austin, Texas, as the site of its fifth Gigafactory, since then known as Gigafactory Texas.[245] Giga Texas is the only factory that produces the Tesla Cybertruck and produces Model Y cars for the Eastern United States. On April 7, 2022, Tesla celebrated the opening of the facility in a public event.[67]"
87,"On December 1, 2021, Tesla relocated its legal headquarters from Palo Alto, California, to the Gigafactory site in Austin, Texas.[246]"
88,"Tesla acquired a former JC Penney distribution center near Lathrop, California, in 2021 to build the ""Megafactory"" to manufacture the Megapack, the company's large scale energy storage product.[247][248] The location opened in 2022."
89,"Tesla announced in February it would open a new global engineering headquarters in Palo Alto, moving into a corporate campus once owned by Hewlett Packard, located a couple of miles from Tesla's former headquarters."
90,"Tesla plans to open Gigafactory Mexico, the company's sixth Gigafactory near Monterrey, Mexico in 2025."
91,"Tesla opened its first European store in June 2009 in London.[249] Tesla's European headquarters are in the Netherlands,[250] part of a group of Tesla facilities in Tilburg, including the company's European Distribution Centre.[251]"
